%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2

21.204,25.883,75,20
21.246,25.844,75,20
21.289,25.883,75,20
21.297,25.883,75,20
21.258,25.89,75,20
21.258,25.89,75,20
21.232,25.903,75,20
21.322,25.943,75,20
21.29,25.929,75,20
21.308,25.956,75,20
21.308,25.956,75,20
21.328,25.943,75,20
21.335,25.95,75,20
21.348,25.976,75,20
21.341,25.983,75,20
21.341,25.983,75,20
21.335,25.983,75,20
21.342,25.983,75,20
21.411,25.963,75,20
21.347,25.976,75,20
21.347,25.976,75,20
21.422,25.996,75,20
21.292,25.996,75,20
21.336,25.983,75,20
21.379,25.989,75,20
21.379,25.989,75,20
21.366,25.996,75,20
21.341,25.989,75,20
21.36,25.996,75,20
21.399,25.976,75,20
21.399,25.976,75,20
21.322,26.003,75,20
21.342,26.003,75,20
21.328,26.002,75,20
21.347,26.009,75,20
21.347,26.009,75,20
21.379,25.996,75,20
21.366,25.996,75,20
21.333,25.983,75,20
21.406,25.976,75,20
21.406,25.976,75,20
21.379,25.982,75,20
21.444,25.969,75,20
21.43,25.996,75,20
21.403,25.976,75,20
21.403,25.976,75,20
21.423,25.976,75,20
21.38,25.976,75,20
21.436,25.969,75,20
21.386,25.969,75,20
21.386,25.969,75,20
21.359,25.976,75,20
21.418,25.956,75,20
21.399,25.943,75,20
21.405,25.956,75,20
21.405,25.956,75,20
21.445,25.963,75,20
21.423,25.949,75,20
21.436,25.929,75,20
21.38,25.936,75,20
21.38,25.936,75,20
21.418,25.943,75,20
21.379,25.916,75,20
21.423,25.903,75,20
21.423,25.909,75,20
21.423,25.909,75,20
21.463,25.909,75,20
21.412,25.876,75,20
21.417,25.903,75,20
21.396,25.883,75,20
21.396,25.883,75,20
21.45,25.883,75,20
21.385,25.863,75,20
21.385,25.856,75,20
21.429,25.829,75,20
21.429,25.829,75,20
21.379,25.836,75,20
21.444,25.85,75,20
21.405,25.85,75,20
21.379,25.83,75,20
21.379,25.83,75,20
21.373,25.803,75,20
21.34,25.809,75,20
21.373,25.796,75,20
21.378,25.79,75,20
21.378,25.79,75,20
21.4,25.775,75,20
21.398,25.77,75,20
21.45,25.77,75,20
21.366,25.756,75,20
21.366,25.756,75,20
21.33,25.77,75,20
21.385,25.763,75,20
21.342,25.783,75,20
21.386,25.776,75,20
21.386,25.776,75,20
21.292,25.781,75,20
21.304,25.783,75,20
21.29,25.796,75,20
21.339,25.81,75,20
21.339,25.81,75,20
21.296,25.816,75,20
21.333,25.816,75,20
21.314,25.83,75,20
21.39,25.803,75,20
21.39,25.803,75,20
21.361,25.823,75,20
21.34,25.809,75,20
21.272,25.843,75,20
21.321,25.837,75,20
21.321,25.837,75,20
21.276,25.843,75,20
21.269,25.856,75,20
21.289,25.863,75,20
21.33,25.87,75,20
21.33,25.87,75,20
21.289,25.869,75,20
21.359,25.85,75,20
21.271,25.869,75,20
21.29,25.876,75,20
21.29,25.876,75,20
21.272,25.876,75,20
21.277,25.869,75,20
21.321,25.863,75,20
21.299,25.889,75,20
21.299,25.889,75,20
21.302,25.87,75,20
21.322,25.89,75,20
21.341,25.903,75,20
21.347,25.903,75,20
21.347,25.903,75,20
21.245,25.917,75,20
21.252,25.909,75,20
21.288,25.936,75,20
21.252,25.923,75,20
21.252,25.923,75,20
21.322,25.936,75,20
21.353,25.916,75,20
21.316,25.93,75,20
21.304,25.93,75,20
21.304,25.93,75,20
21.261,25.903,75,20
21.298,25.903,75,20
21.29,25.883,75,20
21.295,25.883,75,20
21.295,25.883,75,20
21.283,25.875,75,20
21.349,25.863,75,20
21.29,25.856,75,20
21.285,25.85,75,20
21.285,25.85,75,20
21.277,25.856,75,20
21.372,25.817,75,20
21.272,25.81,75,20
21.292,25.796,75,20
21.292,25.796,75,20
21.259,25.783,75,20
21.257,25.763,75,20
21.276,25.717,75,20
21.269,25.73,75,20
21.269,25.73,75,20
21.278,25.724,75,20
21.285,25.724,75,20
21.162,25.73,75,20
21.262,25.735,75,20
21.262,25.735,75,20
21.209,25.728,75,20
21.251,25.737,75,20
21.257,25.756,75,20
21.219,25.77,75,20
21.219,25.77,75,20
21.183,25.768,75,20
21.281,25.757,75,20
21.264,25.783,75,20
21.266,25.783,75,20
21.266,25.783,75,20
21.296,25.83,75,20
21.226,25.816,75,20
21.309,25.83,75,20
21.259,25.843,75,20
21.259,25.843,75,20
21.189,25.85,75,20
21.277,25.83,75,20
21.29,25.856,75,20
21.319,25.871,75,20
21.319,25.871,75,20
21.264,25.889,75,20
21.221,25.896,75,20
21.259,25.889,75,20
21.262,25.896,75,20
21.262,25.896,75,20
21.277,25.904,75,20
21.244,25.903,75,20
21.244,25.93,75,20
21.295,25.949,75,20
21.295,25.949,75,20
21.295,25.93,75,20
21.322,25.93,75,20
21.275,25.903,75,20
21.275,25.949,75,20
21.275,25.949,75,20
21.259,25.929,75,20
21.284,25.929,75,20
21.258,25.929,75,20
21.258,25.936,75,20
21.258,25.936,75,20
21.314,25.936,75,20
21.288,25.929,75,20
21.265,25.943,75,20
21.206,25.916,75,20
21.206,25.916,75,20
21.264,25.916,75,20
21.27,25.922,75,20
21.283,25.923,75,20
21.234,25.909,75,20
21.234,25.909,75,20
21.283,25.91,75,20
21.276,25.903,75,20
21.237,25.896,75,20
21.31,25.889,75,20
21.31,25.889,75,20
21.309,25.87,75,20
21.219,25.863,75,20
21.288,25.863,75,20
21.304,25.83,75,20
21.304,25.83,75,20
21.264,25.837,75,20
21.252,25.817,75,20
21.288,25.817,75,20
21.271,25.783,75,20
21.271,25.783,75,20
21.271,25.81,75,20
21.324,25.79,75,20
21.207,25.796,75,20
21.281,25.83,75,20
21.281,25.83,75,20
21.347,25.83,75,20
21.328,25.843,75,20
21.337,25.836,75,20
21.297,25.83,75,20
21.297,25.83,75,20
21.268,25.837,75,20
21.316,25.851,75,20
21.296,25.85,75,20
21.331,25.876,75,20
21.331,25.876,75,20
21.284,25.869,75,20
21.303,25.863,75,20
21.311,25.882,75,20
21.289,25.882,75,20
