%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2

-0.75714,-0.83758,0,0
-0.7151,-0.87653,0,0
-0.67215,-0.83758,0,0
-0.66424,-0.83758,0,0
-0.7033,-0.83065,0,0
-0.7033,-0.83065,0,0
-0.72851,-0.81727,0,0
-0.63933,-0.77753,0,0
-0.67101,-0.79106,0,0
-0.65274,-0.76462,0,0
-0.65274,-0.76462,0,0
-0.63248,-0.77784,0,0
-0.62623,-0.77068,0,0
-0.61299,-0.74478,0,0
-0.62015,-0.7377,0,0
-0.62015,-0.7377,0,0
-0.62623,-0.7377,0,0
-0.61908,-0.7377,0,0
-0.54978,-0.75785,0,0
-0.6142,-0.74478,0,0
-0.6142,-0.74478,0,0
-0.53851,-0.72464,0,0
-0.66842,-0.72416,0,0
-0.62471,-0.7377,0,0
-0.58176,-0.73133,0,0
-0.58176,-0.73133,0,0
-0.59486,-0.72416,0,0
-0.61969,-0.73133,0,0
-0.60126,-0.72495,0,0
-0.56219,-0.74478,0,0
-0.56219,-0.74478,0,0
-0.63903,-0.71779,0,0
-0.61862,-0.71779,0,0
-0.63248,-0.71803,0,0
-0.61359,-0.7111,0,0
-0.61359,-0.7111,0,0
-0.58176,-0.72495,0,0
-0.59478,-0.72495,0,0
-0.62768,-0.73786,0,0
-0.55503,-0.74478,0,0
-0.55503,-0.74478,0,0
-0.58153,-0.73833,0,0
-0.51681,-0.75116,0,0
-0.53044,-0.72416,0,0
-0.55785,-0.74431,0,0
-0.55785,-0.74431,0,0
-0.5382,-0.74478,0,0
-0.58062,-0.74478,0,0
-0.52487,-0.75147,0,0
-0.57453,-0.75116,0,0
-0.57453,-0.75116,0,0
-0.60141,-0.74478,0,0
-0.54262,-0.76478,0,0
-0.56219,-0.77768,0,0
-0.55572,-0.76462,0,0
-0.55572,-0.76462,0,0
-0.51612,-0.75785,0,0
-0.53767,-0.77146,0,0
-0.52487,-0.79146,0,0
-0.58062,-0.78437,0,0
-0.58062,-0.78437,0,0
-0.54262,-0.77768,0,0
-0.58229,-0.8046,0,0
-0.5382,-0.81774,0,0
-0.5382,-0.81137,0,0
-0.5382,-0.81137,0,0
-0.49784,-0.81137,0,0
-0.54879,-0.84426,0,0
-0.54437,-0.81774,0,0
-0.5644,-0.83726,0,0
-0.5644,-0.83726,0,0
-0.51064,-0.83726,0,0
-0.57559,-0.85741,0,0
-0.57559,-0.8641,0,0
-0.53211,-0.89101,0,0
-0.53211,-0.89101,0,0
-0.58153,-0.88425,0,0
-0.51681,-0.87079,0,0
-0.55594,-0.87079,0,0
-0.58229,-0.89046,0,0
-0.58229,-0.89046,0,0
-0.58808,-0.91738,0,0
-0.6206,-0.911,0,0
-0.58808,-0.92431,0,0
-0.58267,-0.93053,0,0
-0.58267,-0.93053,0,0
-0.5612,-0.94595,0,0
-0.56288,-0.95067,0,0
-0.51064,-0.95083,0,0
-0.59478,-0.96429,0,0
-0.59478,-0.96429,0,0
-0.63126,-0.95067,0,0
-0.57559,-0.95752,0,0
-0.61862,-0.93721,0,0
-0.57498,-0.94414,0,0
-0.57498,-0.94414,0,0
-0.66881,-0.93942,0,0
-0.65647,-0.93721,0,0
-0.67101,-0.92431,0,0
-0.62174,-0.91077,0,0
-0.62174,-0.91077,0,0
-0.66447,-0.90416,0,0
-0.62799,-0.90416,0,0
-0.6471,-0.89046,0,0
-0.57125,-0.91761,0,0
-0.57125,-0.91761,0,0
-0.60034,-0.89731,0,0
-0.62106,-0.911,0,0
-0.68883,-0.8774,0,0
-0.63964,-0.88377,0,0
-0.63964,-0.88377,0,0
-0.68472,-0.87724,0,0
-0.69211,-0.86425,0,0
-0.67162,-0.85757,0,0
-0.63134,-0.85072,0,0
-0.63134,-0.85072,0,0
-0.672,-0.85103,0,0
-0.60141,-0.87087,0,0
-0.68952,-0.85103,0,0
-0.67101,-0.84426,0,0
-0.67101,-0.84426,0,0
-0.68921,-0.84411,0,0
-0.68388,-0.85103,0,0
-0.63964,-0.85741,0,0
-0.66172,-0.8312,0,0
-0.66172,-0.8312,0,0
-0.65928,-0.85072,0,0
-0.63842,-0.83073,0,0
