%%% Data to be read on the pyvrft package %%%
%%% Second experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2

-0.277,-0.81175,0,0
-0.30357,-0.81821,0,0
-0.26116,-0.82474,0,0
-0.26116,-0.82474,0,0
-0.24266,-0.82489,0,0
-0.28157,-0.82489,0,0
-0.3246,-0.83804,0,0
-0.27251,-0.8245,0,0
-0.27251,-0.8245,0,0
-0.292,-0.80553,0,0
-0.27898,-0.8049,0,0
-0.30266,-0.8049,0,0
-0.32756,-0.82489,0,0
-0.32756,-0.82489,0,0
-0.30457,-0.80483,0,0
-0.34927,-0.79176,0,0
-0.2923,-0.81821,0,0
-0.34181,-0.77208,0,0
-0.34181,-0.77208,0,0
-0.33716,-0.7654,0,0
-0.34135,-0.765,0,0
-0.34135,-0.77137,0,0
-0.34135,-0.77137,0,0
-0.22834,-0.75855,0,0
-0.32139,-0.75871,0,0
-0.36221,-0.73856,0,0
-0.36221,-0.73856,0,0
-0.31386,-0.7517,0,0
-0.34995,-0.70581,0,0
-0.34851,-0.73856,0,0
-0.33008,-0.73871,0,0
-0.33008,-0.73871,0,0
-0.3051,-0.71872,0,0
-0.322,-0.69236,0,0
-0.31561,-0.70589,0,0
-0.31561,-0.70511,0,0
-0.31561,-0.70511,0,0
-0.25111,-0.70511,0,0
-0.33457,-0.69236,0,0
-0.277,-0.65285,0,0
-0.23565,-0.69236,0,0
-0.23565,-0.69236,0,0
-0.33617,-0.63931,0,0
-0.27288,-0.65883,0,0
-0.25987,-0.66568,0,0
-0.23976,-0.65245,0,0
-0.23976,-0.65245,0,0
-0.3246,-0.63963,0,0
-0.34181,-0.65206,0,0
-0.2987,-0.64608,0,0
-0.3051,-0.64569,0,0
-0.3051,-0.64569,0,0
-0.3051,-0.65883,0,0
-0.31523,-0.67945,0,0
-0.32254,-0.67221,0,0
-0.25933,-0.69889,0,0
-0.25933,-0.69889,0,0
-0.27959,-0.70574,0,0
-0.32025,-0.71196,0,0
-0.34736,-0.71849,0,0
-0.31919,-0.76477,0,0
-0.31919,-0.76477,0,0
-0.27334,-0.74501,0,0
-0.22895,-0.75855,0,0
-0.27212,-0.79829,0,0
-0.28005,-0.79782,0,0
-0.28005,-0.79782,0,0
-0.31667,-0.80506,0,0
-0.32871,-0.8112,0,0
-0.30906,-0.82489,0,0
-0.33046,-0.83812,0,0
-0.33046,-0.83812,0,0
-0.34257,-0.8245,0,0
-0.29033,-0.85763,0,0
-0.33617,-0.83812,0,0
-0.31645,-0.83812,0,0
-0.31645,-0.83812,0,0
-0.30974,-0.84441,0,0
-0.30974,-0.84441,0,0
-0.29566,-0.85158,0,0
-0.2556,-0.83812,0,0
-0.2556,-0.83812,0,0
-0.3118,-0.81167,0,0
-0.35041,-0.81167,0,0
-0.33046,-0.79829,0,0
-0.34135,-0.81781,0,0
-0.34135,-0.81781,0,0
-0.42565,-0.81781,0,0
-0.406,-0.79782,0,0
-0.37447,-0.78515,0,0
-0.37447,-0.78531,0,0
-0.37447,-0.78531,0,0
-0.38841,-0.79168,0,0
-0.33008,-0.79176,0,0
-0.31667,-0.77822,0,0
-0.31645,-0.73887,0,0
-0.31645,-0.73887,0,0
-0.29413,-0.73203,0,0
-0.30304,-0.71227,0,0
-0.31469,-0.72573,0,0
-0.34736,-0.72573,0,0
-0.34736,-0.72573,0,0
-0.41331,-0.73226,0,0
-0.33008,-0.73911,0,0
-0.32376,-0.71904,0,0
-0.34325,-0.69236,0,0
-0.34325,-0.69236,0,0
-0.39306,-0.69873,0,0
-0.38681,-0.68598,0,0
-0.39534,-0.67945,0,0
-0.31081,-0.66584,0,0
-0.31081,-0.66584,0,0
-0.39412,-0.67874,0,0
-0.32421,-0.6593,0,0
-0.39306,-0.66568,0,0
-0.39389,-0.64608,0,0
-0.39389,-0.64608,0,0
-0.33228,-0.63892,0,0
-0.3549,-0.63278,0,0
-0.38841,-0.6593,0,0
-0.34759,-0.63278,0,0
-0.34759,-0.63278,0,0
-0.38102,-0.61877,0,0
-0.36145,-0.63262,0,0
-0.31538,-0.61924,0,0
-0.36404,-0.61877,0,0
-0.36404,-0.61877,0,0
-0.30457,-0.57942,0,0
-0.3565,-0.59957,0,0
-0.35605,-0.59957,0,0
-0.32528,-0.59303,0,0
-0.32528,-0.59303,0,0
-0.36861,-0.55935,0,0
-0.30373,-0.57312,0,0
-0.30373,-0.57265,0,0
-0.31667,-0.55242,0,0
-0.31667,-0.55242,0,0
-0.30411,-0.55227,0,0
